date,breadth_quality,advancers,decliners,unchanged,traded_count,advancers_ratio,limit_up_count,limit_down_count,failed_limit_up_count,limit_up_open_failure_rate,new_high_60d_count,new_low_60d_count,above_ma20_count,above_ma60_count,tracked_stock_count,median_return_20d,source_note
2026-04-01,proxy,4233,842,102,5177,0.8177,,,,,0,0,0,0,5177,,all-stock-proxy-csv
2026-04-02,proxy,1049,4369,55,5473,0.1917,,,,,0,0,0,0,5473,,all-stock-proxy-csv
2026-04-03,proxy,715,4735,24,5474,0.1306,,,,,0,0,0,0,5474,,all-stock-proxy-csv
2026-04-07,proxy,3974,1418,81,5473,0.7261,,,,,0,0,0,0,5473,,all-stock-proxy-csv
2026-04-08,proxy,5169,294,14,5477,0.9438,,,,,0,0,0,0,5477,,all-stock-proxy-csv
2026-04-09,proxy,1140,4288,52,5480,0.208,,,,,0,0,0,0,5480,,all-stock-proxy-csv
2026-04-10,proxy,3970,1391,120,5481,0.7243,,,,,0,0,0,0,5481,,all-stock-proxy-csv
2026-04-13,proxy,2374,2953,156,5483,0.433,,,,,0,0,0,0,5483,,all-stock-proxy-csv
2026-04-14,proxy,3719,1589,179,5487,0.6778,,,,,0,0,0,0,5487,,all-stock-proxy-csv
2026-04-15,proxy,1837,3535,113,5485,0.3349,,,,,0,0,0,0,5485,,all-stock-proxy-csv
2026-04-16,proxy,4286,1067,133,5486,0.7813,,,,,0,0,0,0,5486,,all-stock-proxy-csv
2026-04-17,proxy,2392,2982,114,5488,0.4359,,,,,0,0,0,0,5488,,all-stock-proxy-csv
2026-04-20,proxy,3422,1891,171,5484,0.624,,,,,0,0,0,0,5484,,all-stock-proxy-csv
2026-04-21,proxy,1943,3429,116,5488,0.354,,,,,0,0,0,0,5488,,all-stock-proxy-csv
2026-04-22,proxy,2914,2428,147,5489,0.5309,,,,,0,0,0,0,5489,,all-stock-proxy-csv
2026-04-23,proxy,1327,4073,86,5486,0.2419,,,,,0,0,0,0,5486,,all-stock-proxy-csv
2026-04-24,proxy,2031,3346,109,5486,0.3702,,,,,0,0,0,0,5486,,all-stock-proxy-csv
2026-04-27,proxy,3281,2098,107,5486,0.5981,,,,,0,0,0,0,5486,,all-stock-proxy-csv
2026-04-28,proxy,1698,3675,108,5481,0.3098,,,,,0,0,0,0,5481,,all-stock-proxy-csv
2026-04-29,proxy,3971,1398,86,5455,0.728,,,,,0,0,3106,0,5455,,all-stock-proxy-csv
2026-04-30,proxy,2877,2459,123,5459,0.527,,,,,0,0,3193,0,5459,2.2535,all-stock-proxy-csv
2026-05-06,proxy,3888,1482,120,5490,0.7082,,,,,0,0,3547,0,5490,4.8404,all-stock-proxy-csv
2026-05-07,proxy,3519,1832,141,5492,0.6408,,,,,0,0,3690,0,5492,8.3059,all-stock-proxy-csv
2026-05-08,proxy,3637,1728,126,5491,0.6624,,,,,0,0,3937,0,5491,7.9602,all-stock-proxy-csv
2026-05-11,proxy,3119,2239,131,5489,0.5682,,,,,0,0,3961,0,5489,4.667,all-stock-proxy-csv
2026-05-12,proxy,1379,4048,63,5490,0.2512,,,,,0,0,3496,0,5490,4.9587,all-stock-proxy-csv
2026-05-13,proxy,3215,2134,144,5493,0.5853,,,,,0,0,3554,0,5493,4.6122,all-stock-proxy-csv
2026-05-14,proxy,1047,4387,59,5493,0.1906,,,,,0,0,2811,0,5493,2.5696,all-stock-proxy-csv
2026-05-15,proxy,1813,3583,97,5493,0.3301,,,,,0,0,2543,0,5493,1.2315,all-stock-proxy-csv
