date,phase,cycle_anchor,suggested_position_pct,suggested_position_mid,confidence,composite_position_pct,sh_close,sh_one_year_position_pct,sh_drawdown_from_high_pct,sh_return_20d,sh_return_60d,hs300_one_year_position_pct,cyb_one_year_position_pct,zz1000_one_year_position_pct,zz1000_drawdown_from_high_pct,turnover_vs_20d,turnover_vs_60d,turnover_vs_250d,advancers_ratio,limit_up_count,limit_down_count,limit_up_open_failure_rate,risk_components,strategic_exposure_pct,strategic_exposure_band
2024-06-12,震荡中继,一年中部区间,40%-55%,47.5,低,42.6,3037.47,56.9,-7.705,-3.443,-0.604,43.3,31.8,38.5,-22.072,0.879,0.771,0.814,,,,,趋势破位,58.9,中性仓
2024-06-13,震荡中继,一年中部区间,40%-55%,47.5,低,41.3,3028.92,55.5,-7.965,-2.916,-0.49,41.2,31.5,37.0,-22.613,0.964,0.845,0.886,,,,,趋势破位,60.2,进攻仓
2024-06-14,震荡中继,一年中部区间,40%-55%,47.5,低,42.4,3032.63,56.1,-7.852,-2.875,-0.184,43.0,33.4,37.0,-22.607,1.087,0.958,1.0,,,,,趋势破位,59.2,中性仓
2024-06-17,震荡中继,一年中部区间,40%-55%,47.5,低,42.1,3015.89,53.3,-8.361,-4.38,-1.269,42.4,35.5,37.1,-22.557,0.963,0.852,0.886,,,,,趋势破位,60.0,中性仓
2024-06-18,震荡中继,一年中部区间,40%-55%,47.5,低,43.6,3030.25,55.7,-7.924,-4.443,-1.772,43.5,36.2,38.9,-21.91,0.953,0.838,0.87,,,,,趋势破位,58.3,中性仓
2024-06-19,震荡中继,一年中部区间,40%-55%,47.5,低,41.0,3018.05,53.6,-8.295,-4.431,-1.46,41.5,33.0,36.1,-22.915,0.926,0.808,0.832,,,,,趋势破位,60.8,进攻仓
2024-06-20,震荡中继,一年中部区间,40%-55%,47.5,低,37.8,3005.44,51.5,-8.678,-4.847,-2.411,38.5,29.4,31.8,-24.467,0.958,0.836,0.857,,,,,趋势破位,63.8,进攻仓
2024-06-21,震荡中继,一年中部区间,40%-55%,47.5,低,37.0,2998.14,50.3,-8.9,-3.794,-2.566,37.6,28.5,31.7,-24.479,0.825,0.719,0.733,,,,,趋势破位,64.7,进攻仓
2024-06-24,震荡中继,一年中部区间,40%-55%,47.5,低,32.4,2963.1,44.3,-9.965,-4.072,-2.786,35.3,25.1,24.8,-26.982,0.941,0.814,0.824,,,,,趋势破位,69.5,进攻仓
2024-06-25,震荡中继,一年中部区间,40%-55%,47.5,低,29.8,2950.0,42.1,-10.363,-5.571,-2.522,33.1,20.8,23.1,-27.582,0.881,0.765,0.769,,,,,趋势破位,72.1,进攻仓
